Name,Gender,College Name,City,Stream,Monthly Average Family Income,Which Functional Area do you want to work in ?,What is most important for you while opting for your first job?,If you are already an employee are you happy with your new job ?,What factors make you most unhappy at a job?,What factors make you Happy with a job?,What are the Areas in which you did your internship ?,How much salary would you expect if you are hired for a job?,"If you find a Job that you are looking for, Relocating to a new place for Job is a problem for you ?",Which City you would prefer to work in ?,What perks you would like in your First Job ?,How much time do you spend on your Mobile everyday ?,What channels would you use looking for Jobs ?,"Will you be willing to work for a different industry if you get a Job?  (for example, you are from engineering and would you work in FInance ?)",What Industry you would prefer to work in ?,Are you interested to work on creating a startup ?,"If yes, what area you would want a startup?"
SURVID-44,Male,,Hyderabad ,Engineering,"10,000 - 50,000",,Job Role,,Lack of recognition,Growth oppurtunities,,"Greater than 1,00,000",No,Hyderabad ,,1 - 3 Hours,"Linkedin, Naukri",Yes,Media,Yes,Media Sector
SURVID-45,Male,Vardhaman college of engineering ,KARIMNAGAR,Engineering,"50,000 - 1,00,000",IT & Software,Salary,Yes,Lack of opportunity to grow,Growth oppurtunities,,"40,000 - 50,000",No,Hyderabad,,1 - 3 Hours,Linkedin,No,IT & Software,,
SURVID-46,Male,Keshav Memorial Institute of Technology,Hyderabad,Engineering,"10,000 - 50,000","IT & Software, BPO, HR",Salary,,"Low Pay, High Work Load","High pay, Low Work Load",Data Science,"Greater than 1,00,000",Yes,Hyderabad,"Abroad placement, traveling abroad.",Less than 1 Hour,,Yes,IT & Software,Yes,Media Sector
SURVID-47,Male,Vardhaman college of engineering,Shamshabad,Engineering,"50,000 - 1,00,000",IT & Software,Chance to work on new Projects,,Low Pay,High pay,Kothagudem thermal power station,"40,000 - 50,000",No,HYDERABAD,"Calmness,neatness",1 - 3 Hours,Naukri,No,Manufacturing,Yes,Education
SURVID-48,Female,Vsm college of engineering ,Ramachandrapuram ,Engineering,"10,000 - 50,000",IT & Software,Chance to work on new Projects,,Low Pay,"High pay, Growth oppurtunities",Data Science,"20,000 - 30,000",No,"Banglore ,hydrabad ",,1 - 3 Hours,"Indeed, Internshala",Yes,IT & Software,Yes,Media Sector
SURVID-49,Female,Vsm college of engineering,Rajamundry,Engineering,"Less than 10,000",IT & Software,Job Role,NO,,Growth oppurtunities,Embedded systems,"30,000 - 40,000",Yes,Hyderabad,,1 - 3 Hours,,Yes,IT & Software,Yes,Education
SURVID-50,Female,Vardhaman college of engineering ,Hyderabad ,Engineering,"50,000 - 1,00,000",Electrical company ,Salary,,Lack of opportunity to grow,Growth oppurtunities,Power system protection,"30,000 - 40,000",No,Hyderabad ,Work place,1 - 3 Hours,Indeed,No,Electrical related core company,Yes,Education
SURVID-51,Female,MVSR engineering college,Hyderabad,Engineering,"50,000 - 1,00,000",IT & Software,Chance to work on new Projects,,Lack of opportunity to grow,Growth oppurtunities,Drdo,"40,000 - 50,000",No,"Hyderabad,bangloor,chenai",,More than 3 Hours,"Linkedin, Internshala, Cocubes",Yes,IT & Software,Yes,Education
SURVID-52,Male,Vardhaman college of engineering ,Hyderabad,Engineering,"50,000 - 1,00,000",IT & Software,Company Culture,,"Lack of opportunity to grow, Lack of recognition","High pay, Growth oppurtunities, Recognition",Software Engineering,"Greater than 1,00,000",No,Hyderabad,Growth & Encouraging Culture,1 - 3 Hours,Linkedin,No,IT & Software,Yes,Education
SURVID-53,Male,Vardhaman college of engineering ,Hyderabad,Engineering,"50,000 - 1,00,000",IT & Software,Job Role,,Lack of opportunity to grow,"High pay, Growth oppurtunities, Recognition",Data Science,"50,000 - 1,00,000",No,Bengaluru,,1 - 3 Hours,"Linkedin, Naukri, Indeed",Yes,Finance,Yes,AI
